proverb	topic
Жить — богу служить.	Бог — Вера
Кто велик, яко бог наш (Влад. Моном.).	Бог — Вера
Не нам, не нам, но имени твоему (т. е. слава).	Бог — Вера
Велико имя господне на земли.	Бог — Вера
В мале бог, и в велике бог.	Бог — Вера
Разумейте, языцы, яко с нами бог.	Бог — Вера
Сильна божья рука. Божья рука — владыка.	Бог — Вера
Бог не в силе, а в правде. Не в силе бог, а в правде.	Бог — Вера
Сила господня в немощи (или: в немощах) совершается.	Бог — Вера
Что богу не угодно, то и не сильно (или: не годно).	Бог — Вера
Велик бог милостию. Богат бог милостию.	Бог — Вера
У бога милости много. Бог на милость не убог.	Бог — Вера
Бог не убог; у бога милости много.	Бог — Вера
У бога всего много. У бога все возможно.	Бог — Вера
Милостив бог, а я, по его милости, не убог.	Бог — Вера
Во времени подождать: у бога есть что подать.	Бог — Вера
Божья вода по божьей земле бежит.	Бог — Вера
Божья роса божью землю кропит.	Бог — Вера
Ни отец до детей, как бог до людей.	Бог — Вера
Друг по друге, а бог по всех. Друг обо друге, а бог обо всех  (печется).	Бог — Вера
Всяк про себя, а господь про всех.	Бог — Вера
Не по грехам нашим господь милостив.	Бог — Вера
Бог напитал, никто не видал (прибавка: а кто и видел, тот не  обидел).	Бог — Вера
Бог пристанет (или: наставит) и пастыря приставит.	Бог — Вера
Даст бог день, даст бог и пищу.	Бог — Вера
После стрижки господь на овец теплом пахнет.	Бог — Вера
Его бог благословил (детьми, богатством, досужеством,  дородством и пр.).	Бог — Вера
Аще бы (или: Кабы) не бог, кто бы нам помог?	Бог — Вера
Бог не как свой брат, скорее поможет (или: проси, так  поможет).	Бог — Вера
Бог поберег вдоль и поперек.	Бог — Вера
Бог полюбит, так не погубит.	Бог — Вера
У бога для праведных места много.	Бог — Вера
С богом пойдешь — до блага дойдешь (к добру путь, или:  добрый путь найдешь).	Бог — Вера
На бога положишься, не обложишься.	Бог — Вера
С богом хоть за море (прибавка: а без бога ни до порога).	Бог — Вера
Нужен путь бог правит. Бог пути кажет.	Бог — Вера
Человек ходит, бог водит.	Бог — Вера
Бог люб — и в люди ведут.	Бог — Вера
Отстанет бог, покинут и добрые люди.	Бог — Вера
Не конь везет, бог несет.	Бог — Вера
Бог даст, и в окошко подаст (т. е. далеко не ищи).	Бог — Вера
Кто к богу, к тому и бог.	Бог — Вера
Кто любит бога, добра получит много.	Бог — Вера
Любящих и бог любит.	Бог — Вера
Бог не дремлет — все слышит.	Бог — Вера
Тот не унывает, кто на бога уповает.	Бог — Вера
Не унывай, на бога уповай (или: а бога призывай).	Бог — Вера
Аще бог с нами, никто же на ны.	Бог — Вера
Коли бог по нас, то никто на нас (или: против нас).	Бог — Вера
Бог по ны, никто же на ны. Бог по нас, никто же на нас.	Бог — Вера
Чего бог не нашлет, того человек не понесет.	Бог — Вера
Бог души не вынет, сама душа не выйдет.	Бог — Вера
Все в мире творится не нашим умом, а божьим судом.	Бог — Вера
Божьи невольники счастливы.	Бог — Вера
Никто не может, так бог поможет.	Бог — Вера
Грозную тучу бог пронесет.	Бог — Вера
Человек предполагает, а бог располагает (перевод).	Бог — Вера
Человек так, а бог инак. Человек по-своему, а бог по-своему.	Бог — Вера
Человек так, да бог не так.	Бог — Вера
Бог свое строит. Ты свое, а бог свое.	Бог — Вера
