dictor;sex;village;sound;f1;f2
and;m;Dzhuen;i;343.936473;2087.688061
and;m;Dzhuen;i;376.343722;1939.472803
and;m;Dzhuen;i;253.490671;1094.884894
and;m;Dzhuen;i;276.426595;2314.701435
and;m;Dzhuen;i;325.202525;1987.125705
and;m;Dzhuen;i;299.584186;2499.441434
and;m;Dzhuen;i;244.041092;2428.071499
and;m;Dzhuen;i;347.245943;2498.858329
and;m;Dzhuen;i;332.798430;2600.633322
and;m;Dzhuen;i;320.204854;1915.155883
and;m;Dzhuen;i;317.000040;1918.849423
and;m;Dzhuen;i;330.576415;2013.858349
and;m;Dzhuen;i;369.762741;2099.704555
and;m;Dzhuen;i;269.531831;2083.978450
and;m;Dzhuen;i;272.483199;2197.627238
and;m;Dzhuen;i;273.694923;2104.989996
and;m;Dzhuen;i;281.424213;2071.745581
and;m;Dzhuen;i;279.258095;2103.560414
and;m;Dzhuen;i;280.218230;2147.794598
and;m;Dzhuen;i;282.944723;2127.743673
and;m;Dzhuen;i;272.443751;2097.994161
and;m;Dzhuen;i;262.031789;2089.603532
and;m;Dzhuen;i;254.885560;2101.125727
and;m;Dzhuen;i;261.000368;2097.689890
and;m;Dzhuen;i;260.709066;2107.276717
and;m;Dzhuen;i;249.367860;2099.786313
and;m;Dzhuen;i;237.384464;2070.034969
and;m;Dzhuen;i;241.001423;2094.844614
and;m;Dzhuen;i;224.706473;2113.182039
and;m;Dzhuen;i;232.066839;2147.908573
and;m;Dzhuen;i;242.381966;2044.990995
and;m;Dzhuen;i;241.421058;2114.652995
and;m;Dzhuen;i;257.754196;2160.646352
and;m;Dzhuen;i;307.192651;2173.653813
and;m;Dzhuen;i;325.485651;2088.569763
and;m;Dzhuen;i;249.084691;2066.628274
and;m;Dzhuen;i;246.996681;1992.254867
and;m;Dzhuen;i;241.085664;2006.433771
and;m;Dzhuen;i;247.429031;2068.271526
and;m;Dzhuen;i;261.627503;2095.527004
and;m;Dzhuen;i;270.695500;2070.388859
and;m;Dzhuen;i;271.595539;2064.098033
and;m;Dzhuen;i;283.732702;2040.547377
and;m;Dzhuen;i;294.497724;2010.789046
and;m;Dzhuen;i;309.960738;2029.353899
and;m;Dzhuen;i;328.999326;2052.018118
and;m;Dzhuen;i;338.573325;2074.121272
and;m;Dzhuen;i;343.751807;2249.808348
and;m;Dzhuen;i;351.036151;2277.509730
and;m;Dzhuen;i;340.012764;2315.454408
and;m;Dzhuen;i;317.332779;2123.331514
and;m;Dzhuen;i;327.576913;2106.112909
and;m;Dzhuen;i;346.613917;2099.692455
and;m;Dzhuen;i;352.967134;2111.150079
and;m;Dzhuen;i;369.325631;2109.867268
and;m;Dzhuen;i;339.314766;2107.031195
and;m;Dzhuen;i;314.137577;2085.342919
and;m;Dzhuen;i;326.477293;2074.503016
and;m;Dzhuen;i;362.150688;2082.761135
and;m;Dzhuen;i;322.911667;2098.393993
and;m;Dzhuen;i;284.834789;2085.550949
and;m;Dzhuen;i;282.225431;2086.351143
and;m;Dzhuen;i;290.638928;2068.796396
and;m;Dzhuen;i;305.226199;2053.875611
and;m;Dzhuen;i;312.287448;2057.327461
and;m;Dzhuen;i;344.023849;2062.279655
and;m;Dzhuen;i;131.914969;2086.158702
and;m;Dzhuen;i;423.210381;2066.808958
and;m;Dzhuen;i;298.411092;2107.268605
and;m;Dzhuen;i;291.827456;2065.337209
and;m;Dzhuen;i;285.744651;2063.873830
and;m;Dzhuen;i;286.808745;2079.405027
and;m;Dzhuen;i;281.104755;2079.755315
and;m;Dzhuen;i;271.433012;2075.219094
and;m;Dzhuen;i;265.616516;2101.574261
and;m;Dzhuen;i;265.021067;2092.796068
and;m;Dzhuen;i;245.799966;2065.373244
and;m;Dzhuen;i;267.345886;2051.221793
and;m;Dzhuen;i;322.505917;2069.345877
and;m;Dzhuen;i;349.390910;2081.469856
and;m;Dzhuen;i;346.073004;2069.217585
and;m;Dzhuen;i;336.227367;2072.475130
and;m;Dzhuen;i;333.110961;2070.641838
and;m;Dzhuen;i;331.826524;2050.812307
and;m;Dzhuen;i;333.019765;2035.017119
and;m;Dzhuen;i;335.831211;2036.506646
and;m;Dzhuen;i;338.185266;2012.587876
and;m;Dzhuen;i;338.898570;1975.267276
and;m;Dzhuen;i;338.508238;1996.830948
and;m;Dzhuen;i;339.498204;2029.444822
and;m;Dzhuen;i;338.061081;2041.244455
and;m;Dzhuen;i;337.079090;2085.379114
and;m;Dzhuen;i;335.907360;2095.107592
and;m;Dzhuen;i;337.135895;2101.521023
and;m;Dzhuen;i;342.604141;2153.045256
and;m;Dzhuen;i;342.270535;2154.416276
and;m;Dzhuen;i;339.819846;2114.236091
and;m;Dzhuen;i;339.480461;2090.719783
and;m;Dzhuen;i;339.804719;2078.872808
and;m;Dzhuen;i;339.067268;2091.778079
and;m;Dzhuen;i;341.537957;2066.529083
and;m;Dzhuen;i;344.274232;1990.649407
and;m;Dzhuen;i;351.550984;2010.457964
and;m;Dzhuen;i;359.179455;2020.247152
and;m;Dzhuen;i;354.803317;2071.104285
and;m;Dzhuen;i;347.293760;2078.813231
and;m;Dzhuen;i;345.724018;2067.429393
and;m;Dzhuen;i;347.792266;2122.232374
and;m;Dzhuen;i;312.036968;2023.478855
and;m;Dzhuen;i;302.996849;2038.455827
and;m;Dzhuen;i;302.632612;2027.051866
and;m;Dzhuen;i;308.487429;2031.693504
and;m;Dzhuen;i;314.844256;2006.178746
and;m;Dzhuen;i;317.411716;2009.773682
and;m;Dzhuen;i;318.139313;2009.450849
and;m;Dzhuen;i;322.824659;2046.173018
and;m;Dzhuen;i;331.482856;2077.606184
and;m;Dzhuen;i;354.783326;2081.236853
and;m;Dzhuen;i;369.540814;2066.469480
and;m;Dzhuen;i;437.919812;2059.682971
and;m;Dzhuen;i;453.998668;2058.286990
and;m;Dzhuen;i;359.106615;2102.134922
and;m;Dzhuen;i;333.882274;2126.218283
and;m;Dzhuen;i;340.246094;2144.032064
and;m;Dzhuen;i;382.467484;2156.812177
and;m;Dzhuen;i;363.492040;2173.680444
and;m;Dzhuen;i;335.877669;2162.350383
and;m;Dzhuen;i;312.442942;2173.924039
and;m;Dzhuen;i;329.317484;2190.038434
and;m;Dzhuen;i;316.770955;2192.320743
and;m;Dzhuen;i;306.623405;2205.782421
and;m;Dzhuen;i;313.690809;2202.224474
and;m;Dzhuen;i;300.936865;2189.227818
and;m;Dzhuen;i;318.055669;2189.521112
and;m;Dzhuen;i;319.389129;2182.144753
and;m;Dzhuen;i;297.682493;2167.707180
and;m;Dzhuen;i;311.915471;2182.459325
and;m;Dzhuen;i;291.676178;2178.441480
and;m;Dzhuen;i;310.047232;2042.129430
and;m;Dzhuen;i;305.421673;2051.328988
and;m;Dzhuen;i;314.222164;2046.299253
and;m;Dzhuen;i;320.973298;2045.453723
and;m;Dzhuen;i;334.160204;2046.594342
and;m;Dzhuen;i;350.787758;2018.652537
and;m;Dzhuen;i;340.948696;2022.312918
and;m;Dzhuen;i;359.400547;2001.399637
and;m;Dzhuen;i;369.016681;2088.833455
and;m;Dzhuen;i;378.094658;2090.420764
and;m;Dzhuen;i;382.797528;2089.610491
and;m;Dzhuen;i;370.987678;2079.855517
and;m;Dzhuen;i;350.602392;2071.371006
and;m;Dzhuen;i;353.553220;2073.809828
and;m;Dzhuen;i;366.668296;2087.044276
and;m;Dzhuen;i;365.803950;2097.268029
and;m;Dzhuen;i;335.155612;2097.987291
and;m;Dzhuen;i;342.196037;2104.085110
and;m;Dzhuen;i;358.235531;2115.354124
and;m;Dzhuen;i;361.036128;2126.054820
and;m;Dzhuen;i;323.490791;2021.470564
and;m;Dzhuen;i;321.332289;2022.733144
and;m;Dzhuen;i;308.174204;2027.617005
and;m;Dzhuen;i;313.786391;2065.230208
and;m;Dzhuen;i;326.306083;2087.929578
and;m;Dzhuen;i;328.423505;2098.152417
and;m;Dzhuen;i;326.328498;2087.840796
and;m;Dzhuen;i;332.158165;2081.181290
and;m;Dzhuen;i;334.291845;2082.750349
and;m;Dzhuen;i;318.552865;2090.906053
and;m;Dzhuen;i;321.593930;2090.477039
and;m;Dzhuen;i;344.265802;2090.294150
and;m;Dzhuen;i;358.165525;2050.177032
and;m;Dzhuen;i;317.213669;2035.179041
and;m;Dzhuen;i;298.875650;2025.974736
and;m;Dzhuen;i;311.783116;2044.661842
and;m;Dzhuen;i;346.987014;2070.446905
and;m;Dzhuen;i;340.308449;2088.107663
and;m;Dzhuen;i;334.310184;2095.531883
and;m;Dzhuen;i;331.738152;2095.492225
and;m;Dzhuen;i;308.690914;2128.912901
and;m;Dzhuen;i;306.470582;2144.004770
and;m;Dzhuen;i;336.021922;2147.422497
and;m;Dzhuen;i;369.674126;2159.976284
and;m;Dzhuen;i;355.194850;2155.331166
and;m;Dzhuen;i;345.656894;2158.974576
and;m;Dzhuen;i;328.985621;2167.256321
and;m;Dzhuen;i;313.645971;2158.049967
and;m;Dzhuen;i;316.454644;2173.881084
and;m;Dzhuen;i;328.675436;2205.689917
and;m;Dzhuen;i;290.236917;2198.176720
and;m;Dzhuen;I;470.883006;1948.936651
and;m;Dzhuen;I;476.927970;1910.159877
and;m;Dzhuen;I;492.438531;1827.054574
and;m;Dzhuen;I;493.290641;1779.726957
and;m;Dzhuen;I;488.130328;1737.119683
and;m;Dzhuen;I;482.530282;1893.717372
and;m;Dzhuen;I;478.863183;1861.276836
and;m;Dzhuen;I;480.247110;1859.920649
and;m;Dzhuen;I;485.285376;1846.632404
and;m;Dzhuen;I;459.333974;1831.095746
and;m;Dzhuen;I;419.202784;1805.233162
and;m;Dzhuen;I;265.748941;1947.133047
and;m;Dzhuen;I;507.519058;1953.107585
and;m;Dzhuen;I;493.265412;1952.382428
and;m;Dzhuen;I;491.418814;1934.324767
and;m;Dzhuen;I;487.118964;1941.939454
and;m;Dzhuen;I;475.042802;1945.894978
and;m;Dzhuen;I;473.255587;1939.804907
and;m;Dzhuen;I;472.695197;1937.074815
and;m;Dzhuen;I;465.347970;1910.955906
and;m;Dzhuen;I;468.800827;1919.048409
and;m;Dzhuen;I;462.033398;1893.248960
and;m;Dzhuen;I;491.211804;1909.744989
and;m;Dzhuen;I;497.761964;1931.528413
and;m;Dzhuen;I;498.967014;1926.170390
and;m;Dzhuen;I;513.592778;1924.883802
and;m;Dzhuen;I;486.027248;1956.217729
and;m;Dzhuen;I;490.338563;1959.532044
and;m;Dzhuen;I;494.866754;1949.401392
and;m;Dzhuen;I;498.993051;1927.063897
and;m;Dzhuen;I;502.531032;1903.381077
and;m;Dzhuen;I;500.347420;1891.088254
and;m;Dzhuen;I;430.525909;2046.586616
and;m;Dzhuen;I;430.166586;2000.189271
and;m;Dzhuen;I;428.392089;2087.799615
and;m;Dzhuen;I;414.035584;2090.847352
and;m;Dzhuen;I;414.912461;2023.409832
and;m;Dzhuen;I;415.591652;1961.730294
and;m;Dzhuen;I;406.129014;1934.196522
and;m;Dzhuen;I;422.255570;2124.884895
and;m;Dzhuen;I;437.165040;2087.470132
and;m;Dzhuen;I;438.645396;2042.439975
and;m;Dzhuen;I;437.945800;2046.260725
and;m;Dzhuen;I;427.558258;2044.701397
and;m;Dzhuen;I;405.716050;2028.215423
and;m;Dzhuen;I;399.302553;2010.407850
and;m;Dzhuen;I;418.644410;2179.265970
and;m;Dzhuen;I;432.792167;2065.973635
and;m;Dzhuen;I;428.697901;2070.990615
and;m;Dzhuen;I;421.328632;2080.191022
and;m;Dzhuen;I;424.208828;2041.026994
and;m;Dzhuen;I;432.771641;2061.046136
and;m;Dzhuen;I;410.960467;2017.524764
and;m;Dzhuen;I;374.389526;1980.682144
and;m;Dzhuen;I;380.876206;1830.991136
and;m;Dzhuen;I;396.884461;1933.667961
and;m;Dzhuen;I;402.233923;1851.661943
and;m;Dzhuen;I;498.682404;1717.534094
and;m;Dzhuen;I;539.403723;1718.094521
and;m;Dzhuen;I;549.274035;1721.118000
and;m;Dzhuen;I;557.952325;1633.877653
and;m;Dzhuen;I;562.679778;1491.229900
and;m;Dzhuen;I;495.589231;1433.079599
and;m;Dzhuen;I;450.928504;1990.370777
and;m;Dzhuen;I;460.086938;1932.741290
and;m;Dzhuen;I;474.343316;1869.062606
and;m;Dzhuen;I;476.723530;1796.153985
and;m;Dzhuen;I;474.123514;1735.293015
and;m;Dzhuen;I;464.647354;1680.360049
and;m;Dzhuen;I;444.442766;1556.232019
and;m;Dzhuen;I;448.347791;1917.922157
and;m;Dzhuen;I;460.285328;1854.479770
and;m;Dzhuen;I;449.056980;1706.873110
and;m;Dzhuen;e;455.785460;1450.583735
and;m;Dzhuen;e;464.759075;1420.384739
and;m;Dzhuen;e;465.830684;1395.628582
and;m;Dzhuen;e;472.154845;1363.143999
and;m;Dzhuen;e;465.532292;1331.185438
and;m;Dzhuen;e;460.209911;1250.600046
and;m;Dzhuen;e;461.095756;1059.064576
and;m;Dzhuen;e;460.587097;1216.232958
and;m;Dzhuen;e;461.641683;1146.600757
and;m;Dzhuen;e;464.369651;1086.654831
and;m;Dzhuen;e;468.314870;1132.241714
and;m;Dzhuen;e;473.710759;1162.910628
and;m;Dzhuen;e;473.666738;1161.693205
and;m;Dzhuen;e;469.073628;1214.662133
and;m;Dzhuen;e;458.889465;1190.748752
and;m;Dzhuen;e;439.836895;1160.964290
and;m;Dzhuen;e;425.367950;1105.113655
and;m;Dzhuen;e;441.291434;1105.315826
and;m;Dzhuen;e;465.039968;1010.812261
and;m;Dzhuen;e;474.584005;1148.655918
